[2026-03-15T17:02:39.623Z] [INFO] [Init] better-sqlite3 native module loaded successfully
[2026-03-15T17:02:39.629Z] [WARN] [Encryption] keytar not available for Credential Manager, using file-based key | DATA: Cannot find module 'keytar'
Require stack:
- C:\Program Files\Cloud POS\Cloud POS\resources\app.asar\electron\offline-database.cjs
- C:\Program Files\Cloud POS\Cloud POS\resources\app.asar\electron\main.cjs
- 
[2026-03-15T17:02:39.633Z] [WARN] [Encryption] better-sqlite3 not compiled with SQLCipher. To enable encryption, rebuild with: npm rebuild better-sqlite3 --build-from-source --sqlite3=sqlcipher
[2026-03-15T17:02:39.664Z] [INFO] [Init] SQLite database initialized | DATA: C:\Users\DG\AppData\Local\Cloud POS\data\offline.db
[2026-03-15T17:07:11.649Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:16.656Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:21.666Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:26.665Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:31.669Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:36.676Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:39.874Z] [INFO] [Sync] Starting full sync from cloud...
[2026-03-15T17:07:45.187Z] [INFO] [Sync] Sync complete. 56 tables synced, 0 errors
[2026-03-15T17:07:46.692Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:51.699Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:07:56.707Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:01.721Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:06.729Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:11.732Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:16.738Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:21.741Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:26.741Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:31.746Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:36.755Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:41.761Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:46.767Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:51.779Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:08:56.784Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:01.790Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:06.806Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:11.816Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:16.824Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:21.829Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:26.832Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:31.839Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:36.883Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:41.886Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:46.889Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:51.907Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:09:56.916Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:01.923Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:06.933Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:11.948Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:16.947Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:21.954Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:10:26.966Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
